"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Einstein-Gymnasium Neuenhagen","Dahlwitzer Straße 79","15366","Neuenhagen","Brandenburg","","","Schule ohne Rassismus - Schule mit Courage","1"
"BBS Handel Hannover","Bruehlstraße 7","30169","Hannover","Niedersachsen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Eduard-Hoffmann-Realschule","Wasserfuhr 25","32108","Bad Salzuflen","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","3"
"Kröllwitz-Schule","An der Petruskirche 29","06120","Halle","Sachsen-Anhalt","","","Schule ohne Rassismus - Schule mit Courage","1"
"Bildungszentrum Weissacher Tal","Place de Marly 1","71554","Weissach im Tal","Baden-Württemberg","","","Schule ohne Rassismus - Schule mit Courage","0"
"Weidenhof Grundschule","Schilfhof 29","14479","Potsdam","Brandenburg","","","Schule ohne Rassismus - Schule mit Courage","0"
"Gymnasium Martineum","Am Johannesbrunnen 34","38820","Halberstadt","Sachsen-Anhalt","","","Schule ohne Rassismus - Schule mit Courage","0"
"Sekundarschule Gottfried Wilhelm Leibnitz","Hegelstraße 22/23","39104","Magdeburg","Sachsen-Anhalt","","","Schule ohne Rassismus - Schule mit Courage","1"
"Schlossgymnasium Gützkow","Parkstraße 18","17506","Gützkow","Mecklenburg-Vorpommern","","","Schule ohne Rassismus - Schule mit Courage","0"
"Paracelsus-Gymnasium Hohenheim","Paracelsusstraße 36","70599","Stuttgart","Gymnasien","","","Schule ohne Rassismus - Schule mit Courage","0"
"Realschule Rotenburg","In der Ahe 30","27356","Rotenburg","Niedersachsen","","","Schule ohne Rassismus - Schule mit Courage","1"
"Oberschule Brieselang","Schulplatz 5","14656","Brieselang","Brandenburg","","","Schule ohne Rassismus - Schule mit Courage","1"
"Erich-Kästner-Realschule","Friedrich-Ludwig-Jahn-Straße 12","21255","Tostedt","Niedersachsen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Gymnasium am Markt","Marktstraße 12","32257","Bünde","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Fachakademie für Sozialpädagogik Hof","Mozartstraße 16","95030","Hof","Bayern","","","Schule ohne Rassismus - Schule mit Courage","0"
"Gymnasium Rheindahlen","Geusenstraße 29","41179","Mönchengladbach","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","1"
